SIZE,RESULT
40,1110000010100010100100011100101001101001
56,11111001110101001101111001110110010100000100110000011010
80,10001111100110110111000010100101111011010001110000110011110011010111011010000000
128,10010011101111100011010001010011110001110111110111000010111110101100000111100101000100011010100011111001101000011101100010011100
168,111111010100101011010110001101000100011010010100010000001100010111000110110011010110011110011010000100110001001001100010011111111101011001110001010110100100011110010101
224,10110001110100100000011010110110011010010000001000001111010000001110101100000000000111001001011101100011111001001010000001101001100100111001000011001001111100110110110101001001000001101001110100101110100101010100001100100011
256,1011101001110100100111100101100100101010110100001010000000010101011010000011010110010011010010001101101100110101100110000111011000001100100110000000100100110010010000110010110101100100101011011011101010000111100010100010001010001111001010000101010010100000
512,11000001010010000011100100110011110101010101011011001101100000100000011111011100010011111101111011010011100000010010111011011111010011010010110100000011011111101011000110011101100111000101010000110100011001100101110011000111000110010010101100001000001101110100111000101100011000011110000101101011010001111001010010000101111001100010101011110010000110001110111101101011111001001011010110011011000101010100101000001110110011100101011110100001001001000111101010111110000000100011100111101010011000010110111101100101
1024,1001001000101000010010001100101111011100011011011100011001100010001101110110111100011011001001011010101000111110010101110110000110100110111111100011100011000111000100111111001001111111110110011101011000101001110010010110010001001011111011111111010011111001111011010010111100000111010101010100011111100101011100000011000101001101001101111000000100001011010010011101011001001111001011001100111011111000111010100001111010010110010000010001010001001000111111101011011010011111101101011101011110110110111011010111100100100011111011011010000100101111000100011100110011101111101101100100010010101011101110011010111011011100111101111100011001111000111010011010101110111000000110001010111110110001010010011011010001011010001010001000101101010111101011010111001010000111011111000110010001011000011101011010101110111011111010111100100110011110000000001000101011100110000010001111011111000100010000010111110111001111011111010110010101111000000010101010111010000011111000101011110111100010110001010010010111111010001011001010001111101110
2048,11101011000001101010100010101000011011110100000111101000111011001110110111001101010001010110001011001110000100010010100001101101100001001110100010001101110101110100101111100111011011001101000100101101101011101110110001101011110011000001011101011010000010001111001000011011001010000010111111001011000111100001000100010111011001100000010000010100000000101000101110000011100110000111111100100111111110010011000101100101000000111001001100110000101100011111001010010011100000110111001101001011010101111111111000000011000001110010010000010110101100100011101111110001110101100110001100000100110100010011011110011100100001110100111110010001010110111101000011001001000101101110100110001101010101100000111100111010101010000000001001111010001000101001101001111010110001111001001101001011011101010001001000100100100010100110000000100000001101000110101011011001101000111001001001101010100110000010011110010010100001100001001001011101000101100111000101001110110110101010010101011101100001100010011110001001110010110011001010010101001101001101110011011100001100001111011101010101010010010010111011001110011011110101001000111101101101000000010110100000111001010001000101010010100010010001100010010111001010110010111100101001010111011110101010010010011101111110101111001000010111111111100000111101011101011100110100110101100111011111000011011101110001000100110000011001111100100110000110011011011000111010011100100011001010001100000001010011010001010010011110101000111011011000110100011101100100000011001010011101001011001011010111110010101111101111101100000101010110010000100011100101111110110111010001110001000001000111110000001001011010111111010110110101001110011100000100100001111000001011011000010010001111001110110101110000100111000101101111111100001000000101000101001010000010001010111111110001111011001001010011000001111010111001100010111110111111001011110011000111111111011100111001110000000100001001000111000110010111101011100000011100110100011011110010000010110110100100100101101100110000101111010101000001101011001110010111110000001010001111100000110101
4096,1001110111011110000110110101010011101010010011011111001111111001110111101001110001010010001001010101010001100111001101100110111100010100110000100011011010010001101000010110000000111000011110111001110101000011001011001001001111011100001101011101110110010000000100011001011011010010000010011111100101010011111100001101000011111001100001110101101100100010010011000110100011111100011110001011110111011100011010110111001011110110011110010111001001001000110110110111001100011110101110010011011110011001110101001110111001101000101100011011010110001111001011001001011011000110111101000010010010011000001110110010010011110000111000110110010001011101001010110011100000100100110100011111011101110010000111111010000001011111111100001010010100100000001011111011111000100100100001000000101001001010011011011011111000101011001011101100010010111000000101010001011000111011011000101101101100111100010110111100000110010001010101110000010011100101110101001101111101011001110111001011001101000111000010011011001111011101110010101011100011111010000000001001011100101110001101111100111100011101000100111000110100011000011001100011111001001111000001101101101011001001011000010111101111110011110101101001010010011010100101101010111000100101010110101011000010100101110110100111001011110101111101101110111000110001101110010011110111010111010011110001100100101111110001100000011110110100111101010110010101011100011110110111011101010001111010011101011110100111110100101110011000100100101010101111101011000111001011010110111001111010100110111101010011011100010110101010011100001100010111100000001001110110001001110011010001101000110000101101001101011101010011100000111100110001101110010111110101110110011100000001001000001100100011011111001111101001101010000010100110100000010110001000000010000100001000000000000101000011010111010010101101001101101110000000111000010011100001011010101001100110101010101100100111111101001111001001110110000110111010011001000001000010101111111000001000010010000110001011101110101011100011011110001101111010110101110000111010101111111110011110100010111011001111000101011111000011010001011110110011101100001000100101101111100010101001001110010100110111111100101111000111100101111101111101100101000011000010000100101010010100010000111000101110000110111101011100000011011111001110000110010001100100100110111001011111001001010100011111111011110111100100110010011101100001011010110110100000011000010111110100001111001111101111101011100001011011100101000111010001101110001101010001010101001001100110100101101011110000010010101101001000000101010111001101101011101001101011101001001100111001110000001000111001101011111110010001001110000011001010101000010011001011100100000010100010101110000000000010001001100100011110110010110001001101000111010100110111010111110110110000001000101110101110010101010011001001011101111011011011010000010001011111011111010001011011110011100111100111100000010010001010101000101110011011111001001101101101001111000110011111011011001100001110000011111000111001110000110000111000001010011111101010001100000010101000001111111000101001100110111001111101101110111011011010110110100000000010001100111110101001101010000100101001000010011010100111101001101100011000011001001011100100001001001100110010010000001001101100011110101011000001001110111010000001100101110010110010001101101011010110101000010011111111101110111110100100001011111110011001001101011011011001010110010001010010010010001001000101001010000011111111000010100111101010110100111011111100011100100011000001110101010010111011101100011111001000100011110010001111010010101011100100101010101001100011110101110100000111100000011011011111011100101000101001000111101111010001111100001001100101110110010110001000110101110000011111110111110100011001010000111010110000111111101000110100110111001010100101000000110001001010111000100100110110110110000101010100101111000101111110001001010101101101111000111101110111100100110101011100100110101001010010001010101011101000111010110001111000000110000101110011010011100101110101011011101011110010001011110011100000001100101110101001101101101010111000001010100100011010001010011001110011
